,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Size_Flash Storage,Size_HDD,Size_Hybrid,Size_SSD,ppi
17,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,0,0,0,512,220.53462386625827
18,Lenovo,Notebook,15.6,Intel Core i3,8,Nvidia,No OS,2.2,0,1,0,0,141.21199808219862
19,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.22,0,0,0,128,165.6321180513006
20,Asus,Netbook,11.6,Others,2,Intel,Windows 10,0.98,32,0,0,0,135.0942111925629
21,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.5,0,0,0,128,141.21199808219862
22,HP,Notebook,15.6,AMD,4,AMD,No OS,1.86,0,500,0,0,100.45466986113651
23,Dell,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.62,0,0,0,256,165.6321180513006
24,HP,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,1.91,0,0,0,256,141.21199808219862
25,Dell,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.3,0,1,0,0,100.45466986113651
26,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,1.35,128,0,0,0,127.67794013309688
27,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.2,0,0,0,256,141.21199808219862
28,Dell,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,1.88,0,0,0,256,141.21199808219862
29,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,0,1,0,0,127.33567457123111
30,Chuwi,Notebook,15.6,Others,4,Intel,Windows 10,1.89,64,0,0,0,141.21199808219862
31,Asus,Notebook,14.0,AMD,2,AMD,Windows 10,1.65,32,0,0,0,111.93520355955211
32,HP,Notebook,17.3,AMD,4,AMD,Windows 10,2.71,0,500,0,0,127.33567457123111
33,Dell,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,1.2,0,0,0,512,276.053530085501
34,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,1.35,256,0,0,0,127.67794013309688
35,Lenovo,Notebook,14.0,Others,4,Intel,Windows 10,1.44,64,0,0,0,111.93520355955211
36,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.1,0,1,0,0,100.45466986113651
37,Dell,Notebook,17.3,Intel Core i5,8,AMD,Windows 10,2.8,0,0,0,128,127.33567457123111
38,HP,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.86,0,1,0,0,100.45466986113651
39,HP,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.1,0,0,0,256,141.21199808219862
40,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.0,0,1,0,0,141.21199808219862
41,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,0,0,0,256,141.21199808219862
42,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Linux,2.3,0,1,0,0,100.45466986113651
43,Acer,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.2,0,0,0,256,141.21199808219862
44,Dell,2 in 1 Convertible,17.3,Intel Core i5,12,Nvidia,Windows 10,2.77,0,1,0,0,127.33567457123111
45,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,0,0,0,256,226.98300468106115
46,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,2.2,0,0,0,128,100.45466986113651
47,Asus,Gaming,17.3,AMD,8,AMD,Windows 10,3.2,0,0,0,256,127.33567457123111
48,Dell,Notebook,15.6,Intel Core i5,4,AMD,Windows 10,2.3,0,0,0,256,141.21199808219862
49,Asus,Notebook,17.3,Others,4,Nvidia,Windows 10,2.8,0,1,0,0,90.58340172449303
50,Lenovo,2 in 1 Convertible,10.1,Others,4,Intel,Android,0.69,64,0,0,0,224.17380907857276
51,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,0,0,0,256,141.21199808219862
52,HP,Notebook,15.6,AMD,4,AMD,Windows 10,1.86,0,0,0,256,141.21199808219862
53,HP,Notebook,13.3,Intel Core i7,8,Intel,Windows 10,1.49,0,0,0,512,165.6321180513006
54,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.4,0,1,0,0,100.45466986113651
55,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.13,0,0,0,256,141.21199808219862
56,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.91,0,0,0,128,141.21199808219862
57,Asus,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.0,0,0,0,256,100.45466986113651
58,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.43,0,0,0,256,127.33567457123111
59,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.0,0,0,0,256,141.21199808219862
60,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,2.8,0,0,0,256,127.33567457123111
61,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.7,0,0,0,256,157.3505121487356
62,Lenovo,Notebook,14.0,Intel Core i3,8,Intel,No OS,1.7,0,0,0,256,157.3505121487356
63,Asus,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.4,0,0,0,256,157.3505121487356
64,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.86,0,0,0,256,141.21199808219862
65,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,1.8,0,0,0,512,141.21199808219862
66,HP,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,1.86,0,500,0,0,100.45466986113651
67,HP,Notebook,14.0,Others,4,Intel,Windows 10,1.44,0,0,0,32,111.93520355955211
68,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.9,0,1,0,0,141.21199808219862
69,Asus,Gaming,17.3,Intel Core i7,12,Nvidia,Linux,3.0,0,1,0,0,127.33567457123111
70,Microsoft,Ultrabook,13.5,Intel Core i5,4,Intel,Windows 10 S,1.252,0,0,0,128,200.84255993695703
71,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,1.4,0,0,0,256,165.6321180513006
72,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,0,0,0,256,141.21199808219862
73,MSI,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,2.7,0,0,0,128,127.33567457123111
74,Acer,Notebook,14.0,Intel Core i3,8,Intel,Windows 10,2.1,0,1,0,0,111.93520355955211
75,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,0,1,0,0,141.21199808219862
76,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,2.2,0,1,0,0,141.21199808219862
77,Dell,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.02,0,0,0,128,141.21199808219862
78,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,2.2,0,1,0,0,141.21199808219862
79,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,0,0,0,128,127.33567457123111
80,Dell,Ultrabook,15.6,Intel Core i5,8,Intel,Windows 10,1.88,0,0,0,256,141.21199808219862
81,Apple,Ultrabook,12.0,Intel Core i5,8,Intel,macOS,0.92,0,0,0,512,226.41554716935852
82,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.63,0,0,0,256,157.3505121487356
83,Lenovo,Notebook,15.6,AMD,4,AMD,Windows 10,2.2,0,0,0,128,141.21199808219862
84,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,0,1,0,0,100.45466986113651
85,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,0,0,0,128,141.21199808219862
86,HP,Ultrabook,15.6,Intel Core i7,8,Nvidia,Windows 10,1.83,0,0,0,256,141.21199808219862
87,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.96,0,0,0,256,141.21199808219862
88,Asus,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.2,0,0,0,128,141.21199808219862
89,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.21,0,0,0,256,165.6321180513006
90,Asus,Gaming,15.6,AMD,8,AMD,Windows 10,2.45,0,1,0,0,141.21199808219862
91,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,0,1,0,0,141.21199808219862
92,HP,Notebook,13.3,Intel Core i7,16,Intel,Windows 10,1.49,0,0,0,512,165.6321180513006
93,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.65,0,0,0,256,141.21199808219862
94,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.25,0,0,0,256,157.3505121487356
95,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.5,0,0,0,256,165.6321180513006
96,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,2.2,0,1,0,0,141.21199808219862
97,Dell,Notebook,15.6,Intel Core i3,4,AMD,Linux,2.2,0,0,0,256,141.21199808219862
98,Asus,Notebook,15.6,Intel Core i3,6,Nvidia,Windows 10,2.0,0,0,0,256,141.21199808219862
99,HP,Gaming,15.6,Intel Core i7,12,Nvidia,Windows 10,2.62,0,0,0,128,141.21199808219862
100,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,1.91,0,0,0,256,141.21199808219862
101,HP,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,0,500,0,0,141.21199808219862
102,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,2.2,0,1,0,0,141.21199808219862
103,HP,Ultrabook,13.3,Intel Core i7,8,Nvidia,Windows 10,1.38,0,0,0,256,165.6321180513006
104,Microsoft,Ultrabook,13.5,Intel Core i5,8,Intel,Windows 10 S,1.252,0,0,0,256,200.84255993695703
105,HP,Notebook,14.0,Intel Core i5,6,Nvidia,Windows 10,1.58,0,0,0,256,157.3505121487356
106,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.85,0,1,0,0,141.21199808219862
107,Asus,Ultrabook,14.0,Intel Core i7,8,Nvidia,Windows 10,1.3,0,0,0,256,157.3505121487356
108,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.2,0,0,0,256,141.21199808219862
109,Lenovo,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.58,0,0,0,256,157.3505121487356
110,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,1.5,0,0,0,256,141.21199808219862
111,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.23,0,0,0,256,276.053530085501
112,Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.37,0,0,0,256,165.6321180513006
113,HP,Notebook,14.0,Intel Core i5,4,Intel,Windows 10,1.63,0,500,0,0,111.93520355955211
114,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.21,0,0,0,256,165.6321180513006
115,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.26,0,0,0,256,165.6321180513006
116,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.63,0,0,0,512,157.3505121487356
117,Dell,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.16,0,0,0,256,141.21199808219862
118,Asus,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,2.0,0,1,0,0,127.33567457123111
119,Asus,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,1.7,0,0,0,256,141.21199808219862
120,Acer,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,2.1,0,1,0,0,141.21199808219862
121,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,1.8,0,0,0,256,141.21199808219862
122,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,2.2,0,0,0,256,141.21199808219862
123,HP,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,2.5,0,0,0,512,127.33567457123111
124,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,0,0,0,256,100.45466986113651
125,HP,Notebook,15.6,Others,4,Intel,No OS,1.86,0,500,0,0,100.45466986113651
126,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.63,0,1,0,0,157.3505121487356
127,Asus,Notebook,14.0,AMD,4,AMD,Windows 10 S,1.65,0,0,0,64,111.93520355955211
128,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,2.8,0,0,0,256,127.33567457123111
129,HP,Notebook,17.3,Intel Core i5,8,Intel,Windows 10,2.5,0,0,0,256,127.33567457123111
130,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.36,0,1,0,0,100.45466986113651
131,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,2.2,0,1,0,0,141.21199808219862
132,Acer,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.6,0,0,0,256,157.3505121487356
133,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,2.2,0,0,0,256,141.21199808219862
134,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.05,0,1,0,0,100.45466986113651
135,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.63,0,0,0,256,157.3505121487356
136,Lenovo,Notebook,15.6,Others,4,Intel,No OS,1.9,0,1,0,0,100.45466986113651
137,Asus,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,3.0,0,0,0,128,127.33567457123111
138,Lenovo,Notebook,15.6,Intel Core i5,4,Nvidia,No OS,2.2,0,1,0,0,141.21199808219862
139,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,1.32,0,0,0,256,165.6321180513006
140,Acer,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,3.0,0,1,0,0,127.33567457123111
141,Lenovo,Notebook,14.0,Intel Core i5,8,AMD,Windows 10,1.75,0,0,0,256,157.3505121487356
142,Lenovo,Gaming,15.6,Intel Core i7,8,Nvidia,No OS,2.4,0,0,0,256,141.21199808219862
143,Toshiba,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.1,0,500,0,0,100.45466986113651
144,HP,Notebook,15.6,AMD,4,AMD,Windows 10,1.86,0,0,0,256,100.45466986113651
145,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.25,0,0,0,256,157.3505121487356
146,HP,Ultrabook,12.5,Others,8,Intel,Windows 10,0.97,0,0,0,512,172.8002962960423
147,Asus,Notebook,15.6,Others,4,Intel,Windows 10,2.0,0,1,0,0,141.21199808219862
148,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,0,0,0,256,127.33567457123111
149,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,0,1,0,0,100.45466986113651
150,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.56,0,0,0,512,141.21199808219862
151,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.62,0,0,1,0,141.21199808219862
152,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.9,0,0,0,128,100.45466986113651
153,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.8,0,0,0,256,127.33567457123111
154,HP,Ultrabook,14.0,Intel Core i5,4,Intel,Windows 10,1.48,0,0,0,256,157.3505121487356
155,HP,Notebook,15.6,Intel Core i5,6,AMD,Windows 10,1.91,0,0,0,256,141.21199808219862
156,Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,Intel,Windows 10,1.74,0,0,0,256,157.3505121487356
157,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.1,0,0,0,256,165.6321180513006
158,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,Intel,Windows 10,1.56,0,0,0,256,141.21199808219862
159,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,0,500,0,0,100.45466986113651
160,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,2.03,0,1,0,0,100.45466986113651
161,Acer,Notebook,17.3,Intel Core i5,4,Nvidia,Windows 10,3.0,0,0,0,256,127.33567457123111
162,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.13,0,0,0,256,141.21199808219862
163,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.5,0,0,0,256,141.21199808219862
164,Acer,Notebook,15.6,Others,4,Intel,Windows 10,2.1,0,1,0,0,100.45466986113651
165,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.4,0,0,0,256,141.21199808219862
166,Acer,Notebook,15.6,Others,4,Intel,Windows 10,2.1,0,1,0,0,100.45466986113651
167,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.56,0,0,0,128,141.21199808219862
168,Acer,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,3.0,0,0,0,256,127.33567457123111
169,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,1.49,0,500,0,0,165.6321180513006
170,Huawei,Ultrabook,13.0,Intel Core i5,8,Intel,Windows 10,1.05,0,0,0,256,199.69207064108247
171,HP,Notebook,17.3,Intel Core i5,6,AMD,Windows 10,2.71,0,1,0,0,127.33567457123111
172,Lenovo,Notebook,15.6,AMD,4,AMD,No OS,2.2,0,500,0,0,100.45466986113651
173,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.0,0,500,0,0,100.45466986113651
174,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,0,0,0,256,127.33567457123111
175,Dell,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,2.3,0,1,0,0,100.45466986113651
176,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,0,0,0,128,100.45466986113651
177,MSI,Gaming,18.4,Intel Core i7,32,Nvidia,Windows 10,4.4,0,0,0,512,119.7232157653423
178,Lenovo,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,1.9,0,0,0,128,141.21199808219862
179,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.29,0,0,0,256,162.40629351131793
180,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,2.02,0,0,0,256,141.21199808219862
181,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.23,0,0,0,256,165.6321180513006
182,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,Intel,Windows 10,1.4,0,0,0,512,155.39594990651284
183,Toshiba,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.0,0,0,0,128,100.45466986113651
184,Xiaomi,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,1.95,0,0,0,256,141.21199808219862
185,Dell,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,2.77,0,0,0,512,127.33567457123111
186,Dell,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,2.06,0,0,0,512,138.46177587823902
187,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,No OS,2.4,0,0,0,256,141.21199808219862
188,Acer,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.12,0,0,0,256,165.6321180513006
189,Dell,Notebook,17.3,Intel Core i7,8,AMD,Windows 10,2.8,0,0,0,128,127.33567457123111
190,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,1.42,0,0,0,1,209.8006828649808
191,Vero,Notebook,14.0,Others,4,Intel,Windows 10,1.3,32,0,0,0,157.3505121487356
192,Xiaomi,Ultrabook,13.3,Intel Core i5,8,Nvidia,No OS,1.3,0,0,0,256,165.6321180513006
193,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,2.8,0,0,0,256,106.11306214269258
194,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,1.62,0,1,0,0,165.6321180513006
195,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,0,1,0,0,127.33567457123111
196,Razer,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,3.49,0,0,0,1,124.85570541621553
197,HP,Notebook,13.3,Intel Core i5,8,Intel,Windows 10,1.49,0,0,0,512,165.6321180513006
198,HP,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,3.35,0,0,0,256,127.33567457123111
199,HP,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,2.5,0,0,0,256,127.33567457123111
200,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,0,0,0,512,138.46177587823902
201,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.1,0,0,0,128,100.45466986113651
202,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.23,0,1,0,0,141.21199808219862
203,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,3.2,0,0,0,512,141.21199808219862
204,Dell,Workstation,15.6,Others,16,Nvidia,Windows 10,2.8,0,0,0,256,138.46177587823902
205,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,No OS,2.4,0,0,0,512,141.21199808219862
206,Dell,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,2.3,0,1,0,0,100.45466986113651
207,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.21,0,0,0,256,162.40629351131793
208,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.2,0,0,0,256,165.6321180513006
209,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.2,0,0,0,256,100.45466986113651
210,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,2.4,0,1,0,0,141.21199808219862
211,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,0,0,0,256,127.33567457123111
212,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,2.1,0,500,0,0,141.21199808219862
213,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,2.2,0,0,0,256,141.21199808219862
214,Huawei,Ultrabook,13.0,Intel Core i7,8,Intel,Windows 10,1.05,0,0,0,512,199.69207064108247
215,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,1.4,0,0,0,256,165.6321180513006
216,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,2.8,0,1,0,0,106.11306214269258
217,HP,Notebook,14.0,Intel Core i7,8,Nvidia,Windows 10,1.63,0,0,0,256,157.3505121487356
218,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,0,0,0,256,157.3505121487356
219,Dell,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,1.62,0,0,0,512,165.6321180513006
220,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,2.2,0,0,0,256,141.21199808219862
221,Lenovo,2 in 1 Convertible,14.0,Intel Core i5,8,Intel,Windows 10,1.74,0,0,0,256,157.3505121487356
222,Toshiba,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.2,0,0,0,256,165.6321180513006
223,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.1,0,1,0,0,141.21199808219862
224,Dell,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,4.42,0,0,0,256,127.33567457123111
225,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,0,0,0,256,141.21199808219862
226,Dell,Notebook,15.6,Intel Core i7,16,AMD,Windows 10,2.3,0,1,0,0,141.21199808219862
227,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.0,0,0,0,256,141.21199808219862
228,Asus,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.69,0,0,0,256,127.33567457123111
229,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,1.9,0,1,0,0,141.21199808219862
230,Asus,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.37,0,1,0,0,100.45466986113651
231,HP,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,0,500,0,0,100.45466986113651
232,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,3.2,0,0,0,256,141.21199808219862
233,Dell,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,0,0,0,256,157.3505121487356
234,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.6,0,0,0,256,165.6321180513006
235,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,2.36,0,0,0,256,141.21199808219862
236,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.1,0,1,0,0,100.45466986113651
237,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,2.2,0,0,0,128,141.21199808219862
238,Asus,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,4.7,0,0,0,512,127.33567457123111
239,Acer,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.5,0,0,0,256,141.21199808219862
240,Lenovo,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,2.2,0,0,0,128,100.45466986113651
241,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,2.1,0,0,0,128,127.33567457123111
242,Asus,Notebook,17.3,Intel Core i7,8,Nvidia,No OS,2.69,0,0,0,128,127.33567457123111
243,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.56,0,0,0,256,141.21199808219862
244,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,Intel,Windows 10,1.38,0,0,0,256,158.48253022174808
245,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,0,0,0,128,141.21199808219862
246,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.04,0,1,0,0,100.45466986113651
247,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,3.6,0,0,0,256,127.33567457123111
