,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,Size_Flash Storage,Size_HDD,Size_Hybrid,Size_SSD,ppi
39,HP,Notebook,15.6,Intel Core i5,8,Nvidia,Windows 10,2.1,46833.12,0,0,0,256,141.21199808219862
40,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.0,20725.92,0,1,0,0,141.21199808219862
41,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,79866.72,0,0,0,256,141.21199808219862
42,Asus,Notebook,15.6,Intel Core i5,8,Nvidia,Linux,2.3,27864.9072,0,1,0,0,100.45466986113651
43,Acer,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.2,36336.96,0,0,0,256,141.21199808219862
44,Dell,2 in 1 Convertible,17.3,Intel Core i5,12,Nvidia,Windows 10,2.77,53226.72,0,1,0,0,127.33567457123111
45,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,75604.31999999999,0,0,0,256,226.98300468106115
46,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,No OS,2.2,19660.32,0,0,0,128,100.45466986113651
47,Asus,Gaming,17.3,AMD,8,AMD,Windows 10,3.2,69210.72,0,0,0,256,127.33567457123111
48,Dell,Notebook,15.6,Intel Core i5,4,AMD,Windows 10,2.3,34045.92,0,0,0,256,141.21199808219862
49,Asus,Notebook,17.3,Others,4,Nvidia,Windows 10,2.8,24828.48,0,1,0,0,90.58340172449303
50,Lenovo,2 in 1 Convertible,10.1,Others,4,Intel,Android,0.69,16996.32,64,0,0,0,224.17380907857276
51,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,44808.48,0,0,0,256,141.21199808219862
52,HP,Notebook,15.6,AMD,4,AMD,Windows 10,1.86,21231.5472,0,0,0,256,141.21199808219862
53,HP,Notebook,13.3,Intel Core i7,8,Intel,Windows 10,1.49,58767.84,0,0,0,512,165.6321180513006
54,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.4,20459.52,0,1,0,0,100.45466986113651
55,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.13,40908.384,0,0,0,256,141.21199808219862
56,HP,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.91,23389.92,0,0,0,128,141.21199808219862
57,Asus,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.0,31232.203200000004,0,0,0,256,100.45466986113651
58,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.43,130482.72,0,0,0,256,127.33567457123111
59,Asus,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.0,22111.2,0,0,0,256,141.21199808219862
60,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,2.8,69210.72,0,0,0,256,127.33567457123111
61,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.7,46833.12,0,0,0,256,157.3505121487356
62,Lenovo,Notebook,14.0,Intel Core i3,8,Intel,No OS,1.7,31914.72,0,0,0,256,157.3505121487356
63,Asus,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.4,50136.48,0,0,0,256,157.3505121487356
64,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.86,36763.2,0,0,0,256,141.21199808219862
65,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,1.8,105654.24,0,0,0,512,141.21199808219862
66,HP,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,1.86,23373.4032,0,500,0,0,100.45466986113651
67,HP,Notebook,14.0,Others,4,Intel,Windows 10,1.44,12201.12,0,0,0,32,111.93520355955211
68,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.9,29250.72,0,1,0,0,141.21199808219862
69,Asus,Gaming,17.3,Intel Core i7,12,Nvidia,Linux,3.0,50562.72,0,1,0,0,127.33567457123111
70,Microsoft,Ultrabook,13.5,Intel Core i5,4,Intel,Windows 10 S,1.252,58021.92,0,0,0,128,200.84255993695703
71,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,1.4,50882.4,0,0,0,256,165.6321180513006
72,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,46353.6,0,0,0,256,141.21199808219862
73,MSI,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,2.7,58341.6,0,0,0,128,127.33567457123111
74,Acer,Notebook,14.0,Intel Core i3,8,Intel,Windows 10,2.1,20725.92,0,1,0,0,111.93520355955211
75,Asus,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,50562.72,0,1,0,0,141.21199808219862
76,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,2.2,27652.32,0,1,0,0,141.21199808219862
77,Dell,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.02,45554.4,0,0,0,128,141.21199808219862
78,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,2.2,28238.4,0,1,0,0,141.21199808219862
79,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,52054.56,0,0,0,128,127.33567457123111
80,Dell,Ultrabook,15.6,Intel Core i5,8,Intel,Windows 10,1.88,58403.4048,0,0,0,256,141.21199808219862
81,Apple,Ultrabook,12.0,Intel Core i5,8,Intel,macOS,0.92,80452.8,0,0,0,512,226.41554716935852
82,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.63,45820.8,0,0,0,256,157.3505121487356
83,Lenovo,Notebook,15.6,AMD,4,AMD,Windows 10,2.2,21258.72,0,0,0,128,141.21199808219862
84,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,21045.6,0,1,0,0,100.45466986113651
85,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,71874.72,0,0,0,128,141.21199808219862
86,HP,Ultrabook,15.6,Intel Core i7,8,Nvidia,Windows 10,1.83,37242.72,0,0,0,256,141.21199808219862
87,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,1.96,31914.1872,0,0,0,256,141.21199808219862
88,Asus,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.2,77202.72,0,0,0,128,141.21199808219862
89,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.21,87858.72,0,0,0,256,165.6321180513006
90,Asus,Gaming,15.6,AMD,8,AMD,Windows 10,2.45,37242.72,0,1,0,0,141.21199808219862
91,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,36709.92,0,1,0,0,141.21199808219862
92,HP,Notebook,13.3,Intel Core i7,16,Intel,Windows 10,1.49,63776.16,0,0,0,512,165.6321180513006
93,Dell,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.65,63669.6,0,0,0,256,141.21199808219862
94,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.25,55890.72,0,0,0,256,157.3505121487356
95,Acer,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.5,45128.16,0,0,0,256,165.6321180513006
96,Dell,Notebook,15.6,Intel Core i7,8,AMD,Linux,2.2,31962.672,0,1,0,0,141.21199808219862
97,Dell,Notebook,15.6,Intel Core i3,4,AMD,Linux,2.2,25840.8,0,0,0,256,141.21199808219862
98,Asus,Notebook,15.6,Intel Core i3,6,Nvidia,Windows 10,2.0,30742.56,0,0,0,256,141.21199808219862
99,HP,Gaming,15.6,Intel Core i7,12,Nvidia,Windows 10,2.62,66546.72,0,0,0,128,141.21199808219862
100,HP,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,1.91,38308.32,0,0,0,256,141.21199808219862
101,HP,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,18594.72,0,500,0,0,141.21199808219862
102,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,2.2,34472.16,0,1,0,0,141.21199808219862
103,HP,Ultrabook,13.3,Intel Core i7,8,Nvidia,Windows 10,1.38,59620.32,0,0,0,256,165.6321180513006
104,Microsoft,Ultrabook,13.5,Intel Core i5,8,Intel,Windows 10 S,1.252,71395.2,0,0,0,256,200.84255993695703
105,HP,Notebook,14.0,Intel Core i5,6,Nvidia,Windows 10,1.58,35111.52,0,0,0,256,157.3505121487356
106,Lenovo,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,1.85,22105.872,0,1,0,0,141.21199808219862
107,Asus,Ultrabook,14.0,Intel Core i7,8,Nvidia,Windows 10,1.3,63563.04,0,0,0,256,157.3505121487356
108,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.2,69210.72,0,0,0,256,141.21199808219862
109,Lenovo,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.58,78854.4,0,0,0,256,157.3505121487356
110,Asus,Ultrabook,15.6,Intel Core i7,16,Nvidia,Windows 10,1.5,67239.36,0,0,0,256,141.21199808219862
111,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.23,73473.12,0,0,0,256,276.053530085501
112,Lenovo,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.37,74538.72,0,0,0,256,165.6321180513006
113,HP,Notebook,14.0,Intel Core i5,4,Intel,Windows 10,1.63,38468.16,0,500,0,0,111.93520355955211
114,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.21,86793.12,0,0,0,256,165.6321180513006
115,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.26,74538.1872,0,0,0,256,165.6321180513006
116,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.63,57755.52,0,0,0,512,157.3505121487356
117,Dell,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.16,60223.98239999999,0,0,0,256,141.21199808219862
118,Asus,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,2.0,30049.92,0,1,0,0,127.33567457123111
119,Asus,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,1.7,59567.04,0,0,0,256,141.21199808219862
120,Acer,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,2.1,25521.12,0,1,0,0,141.21199808219862
121,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,1.8,119427.12,0,0,0,256,141.21199808219862
122,Lenovo,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,2.2,33513.119999999995,0,0,0,256,141.21199808219862
123,HP,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,2.5,67718.88,0,0,0,512,127.33567457123111
124,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,24029.28,0,0,0,256,100.45466986113651
125,HP,Notebook,15.6,Others,4,Intel,No OS,1.86,13799.52,0,500,0,0,100.45466986113651
126,HP,Notebook,14.0,Intel Core i5,8,Intel,Windows 10,1.63,43263.36,0,1,0,0,157.3505121487356
127,Asus,Notebook,14.0,AMD,4,AMD,Windows 10 S,1.65,14811.3072,0,0,0,64,111.93520355955211
128,Dell,Notebook,17.3,Intel Core i7,16,AMD,Windows 10,2.8,74378.87999999999,0,0,0,256,127.33567457123111
129,HP,Notebook,17.3,Intel Core i5,8,Intel,Windows 10,2.5,49443.84,0,0,0,256,127.33567457123111
130,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.36,34045.3872,0,1,0,0,100.45466986113651
131,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,2.2,23922.72,0,1,0,0,141.21199808219862
132,Acer,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.6,47099.52,0,0,0,256,157.3505121487356
133,Acer,Notebook,15.6,Intel Core i3,4,Nvidia,Windows 10,2.2,30476.16,0,0,0,256,141.21199808219862
134,HP,Notebook,15.6,Intel Core i7,8,Intel,Windows 10,2.05,31861.44,0,1,0,0,100.45466986113651
135,HP,Notebook,14.0,Intel Core i7,8,Intel,Windows 10,1.63,52640.64,0,0,0,256,157.3505121487356
136,Lenovo,Notebook,15.6,Others,4,Intel,No OS,1.9,13445.7408,0,1,0,0,100.45466986113651
137,Asus,Gaming,17.3,Intel Core i5,8,Nvidia,Windows 10,3.0,49976.64,0,0,0,128,127.33567457123111
138,Lenovo,Notebook,15.6,Intel Core i5,4,Nvidia,No OS,2.2,26586.72,0,1,0,0,141.21199808219862
139,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,1.32,37242.72,0,0,0,256,165.6321180513006
140,Acer,Notebook,17.3,Intel Core i3,4,Nvidia,Windows 10,3.0,34898.4,0,1,0,0,127.33567457123111
141,Lenovo,Notebook,14.0,Intel Core i5,8,AMD,Windows 10,1.75,59461.5456,0,0,0,256,157.3505121487356
142,Lenovo,Gaming,15.6,Intel Core i7,8,Nvidia,No OS,2.4,46300.32,0,0,0,256,141.21199808219862
143,Toshiba,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.1,32074.56,0,500,0,0,100.45466986113651
144,HP,Notebook,15.6,AMD,4,AMD,Windows 10,1.86,19660.32,0,0,0,256,100.45466986113651
145,Asus,Ultrabook,14.0,Intel Core i7,8,Intel,Windows 10,1.25,58554.72,0,0,0,256,157.3505121487356
146,HP,Ultrabook,12.5,Others,8,Intel,Windows 10,0.97,107305.92,0,0,0,512,172.8002962960423
147,Asus,Notebook,15.6,Others,4,Intel,Windows 10,2.0,18328.32,0,1,0,0,141.21199808219862
148,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,108105.12,0,0,0,256,127.33567457123111
149,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,23816.16,0,1,0,0,100.45466986113651
150,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.56,66560.5728,0,0,0,512,141.21199808219862
151,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.62,47898.72,0,0,1,0,141.21199808219862
152,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.9,26533.44,0,0,0,128,100.45466986113651
153,MSI,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.8,100699.2,0,0,0,256,127.33567457123111
154,HP,Ultrabook,14.0,Intel Core i5,4,Intel,Windows 10,1.48,57648.96,0,0,0,256,157.3505121487356
155,HP,Notebook,15.6,Intel Core i5,6,AMD,Windows 10,1.91,32980.32,0,0,0,256,141.21199808219862
156,Lenovo,2 in 1 Convertible,14.0,Intel Core i3,4,Intel,Windows 10,1.74,33513.119999999995,0,0,0,256,157.3505121487356
157,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.1,70063.2,0,0,0,256,165.6321180513006
158,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,Intel,Windows 10,1.56,55890.72,0,0,0,256,141.21199808219862
159,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,23816.16,0,500,0,0,100.45466986113651
160,Asus,Notebook,15.6,AMD,4,AMD,Windows 10,2.03,21471.84,0,1,0,0,100.45466986113651
161,Acer,Notebook,17.3,Intel Core i5,4,Nvidia,Windows 10,3.0,42890.4,0,0,0,256,127.33567457123111
162,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.13,38787.84,0,0,0,256,141.21199808219862
163,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.5,57489.12,0,0,0,256,141.21199808219862
164,Acer,Notebook,15.6,Others,4,Intel,Windows 10,2.1,18541.44,0,1,0,0,100.45466986113651
165,MSI,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.4,95850.72,0,0,0,256,141.21199808219862
166,Acer,Notebook,15.6,Others,4,Intel,Windows 10,2.1,19367.8128,0,1,0,0,100.45466986113651
167,Dell,Gaming,15.6,Intel Core i7,8,Nvidia,Windows 10,2.56,56502.9072,0,0,0,128,141.21199808219862
168,Acer,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,3.0,45501.12,0,0,0,256,127.33567457123111
169,HP,Notebook,13.3,Intel Core i5,4,Intel,Windows 10,1.49,40173.12,0,500,0,0,165.6321180513006
170,Huawei,Ultrabook,13.0,Intel Core i5,8,Intel,Windows 10,1.05,71874.72,0,0,0,256,199.69207064108247
171,HP,Notebook,17.3,Intel Core i5,6,AMD,Windows 10,2.71,37242.72,0,1,0,0,127.33567457123111
172,Lenovo,Notebook,15.6,AMD,4,AMD,No OS,2.2,16463.52,0,500,0,0,100.45466986113651
173,Toshiba,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.0,26053.92,0,500,0,0,100.45466986113651
174,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,49177.44,0,0,0,256,127.33567457123111
175,Dell,Notebook,15.6,Intel Core i3,8,Intel,Windows 10,2.3,24455.52,0,1,0,0,100.45466986113651
176,Acer,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.1,23922.72,0,0,0,128,100.45466986113651
177,MSI,Gaming,18.4,Intel Core i7,32,Nvidia,Windows 10,4.4,149130.72,0,0,0,512,119.7232157653423
178,Lenovo,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,1.9,43316.64,0,0,0,128,141.21199808219862
179,HP,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.29,79866.72,0,0,0,256,162.40629351131793
180,Dell,Notebook,15.6,Intel Core i7,16,AMD,Linux,2.02,55890.72,0,0,0,256,141.21199808219862
181,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.23,74538.72,0,0,0,256,165.6321180513006
182,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,Intel,Windows 10,1.4,98514.72,0,0,0,512,155.39594990651284
183,Toshiba,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.0,42251.04,0,0,0,128,100.45466986113651
184,Xiaomi,Notebook,15.6,Intel Core i5,8,Nvidia,No OS,1.95,63882.72,0,0,0,256,141.21199808219862
185,Dell,Notebook,17.3,Intel Core i7,16,Nvidia,Windows 10,2.77,82530.72,0,0,0,512,127.33567457123111
186,Dell,Notebook,15.6,Intel Core i7,16,Nvidia,Windows 10,2.06,127712.16,0,0,0,512,138.46177587823902
187,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,No OS,2.4,41505.12,0,0,0,256,141.21199808219862
188,Acer,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.12,52693.92,0,0,0,256,165.6321180513006
189,Dell,Notebook,17.3,Intel Core i7,8,AMD,Windows 10,2.8,57808.8,0,0,0,128,127.33567457123111
190,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,Intel,Windows 10,1.42,150462.72,0,0,0,1,209.8006828649808
191,Vero,Notebook,14.0,Others,4,Intel,Windows 10,1.3,13852.8,32,0,0,0,157.3505121487356
192,Xiaomi,Ultrabook,13.3,Intel Core i5,8,Nvidia,No OS,1.3,53274.67199999999,0,0,0,256,165.6321180513006
193,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,2.8,37189.44,0,0,0,256,106.11306214269258
194,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,Intel,Windows 10,1.62,44701.92,0,1,0,0,165.6321180513006
195,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,48697.92,0,1,0,0,127.33567457123111
196,Razer,Gaming,17.3,Intel Core i7,32,Nvidia,Windows 10,3.49,324954.72,0,0,0,1,124.85570541621553
197,HP,Notebook,13.3,Intel Core i5,8,Intel,Windows 10,1.49,51095.52,0,0,0,512,165.6321180513006
198,HP,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,3.35,73473.12,0,0,0,256,127.33567457123111
199,HP,Notebook,17.3,Intel Core i7,8,Nvidia,Windows 10,2.5,55677.6,0,0,0,256,127.33567457123111
200,Dell,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,2.65,98301.6,0,0,0,512,138.46177587823902
201,Lenovo,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,2.1,26267.04,0,0,0,128,100.45466986113651
202,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.23,39533.76,0,1,0,0,141.21199808219862
203,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,Windows 10,3.2,93186.72,0,0,0,512,141.21199808219862
204,Dell,Workstation,15.6,Others,16,Nvidia,Windows 10,2.8,162770.4,0,0,0,256,138.46177587823902
205,Lenovo,Gaming,15.6,Intel Core i7,16,Nvidia,No OS,2.4,74485.44,0,0,0,512,141.21199808219862
206,Dell,Notebook,15.6,Intel Core i3,6,Intel,Windows 10,2.3,23389.92,0,1,0,0,100.45466986113651
207,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.21,103842.72,0,0,0,256,162.40629351131793
208,Dell,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.2,77202.72,0,0,0,256,165.6321180513006
209,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.2,31808.16,0,0,0,256,100.45466986113651
210,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Linux,2.4,41505.12,0,1,0,0,141.21199808219862
211,Asus,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,2.9,74964.95999999999,0,0,0,256,127.33567457123111
212,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,2.1,18594.72,0,500,0,0,141.21199808219862
213,Lenovo,Notebook,15.6,Intel Core i5,8,Intel,No OS,2.2,29250.72,0,0,0,256,141.21199808219862
214,Huawei,Ultrabook,13.0,Intel Core i7,8,Intel,Windows 10,1.05,79866.72,0,0,0,512,199.69207064108247
215,Dell,Ultrabook,13.3,Intel Core i7,8,AMD,Windows 10,1.4,49650.5664,0,0,0,256,165.6321180513006
216,Lenovo,Notebook,17.3,Intel Core i5,8,Nvidia,No OS,2.8,31381.92,0,1,0,0,106.11306214269258
217,HP,Notebook,14.0,Intel Core i7,8,Nvidia,Windows 10,1.63,54931.68,0,0,0,256,157.3505121487356
218,Dell,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,61218.72,0,0,0,256,157.3505121487356
219,Dell,2 in 1 Convertible,13.3,Intel Core i7,16,Intel,Windows 10,1.62,68145.12,0,0,0,512,165.6321180513006
220,Dell,Notebook,15.6,Intel Core i5,8,AMD,Linux,2.2,36089.208,0,0,0,256,141.21199808219862
221,Lenovo,2 in 1 Convertible,14.0,Intel Core i5,8,Intel,Windows 10,1.74,47898.72,0,0,0,256,157.3505121487356
222,Toshiba,Ultrabook,13.3,Intel Core i7,8,Intel,Windows 10,1.2,72620.64,0,0,0,256,165.6321180513006
223,HP,Notebook,15.6,Intel Core i5,8,Intel,Windows 10,2.1,42304.32,0,1,0,0,141.21199808219862
224,Dell,Gaming,17.3,Intel Core i7,16,Nvidia,Windows 10,4.42,130873.7952,0,0,0,256,127.33567457123111
225,Acer,Notebook,15.6,Intel Core i7,8,Nvidia,Windows 10,2.2,44328.96,0,0,0,256,141.21199808219862
226,Dell,Notebook,15.6,Intel Core i7,16,AMD,Windows 10,2.3,45768.0528,0,1,0,0,141.21199808219862
